Metric		Current
TOTAL_NUMBER_OF_FILES		29,723
NUMBER_OF_FILES_MAIN		69
LINES_OF_CODE_MAIN		7,401
NUMBER_OF_FILES_MAIN_EXT_HTML		9
LINES_OF_CODE_MAIN_EXT_HTML		2,586
NUMBER_OF_FILES_MAIN_EXT_CSS		16
LINES_OF_CODE_MAIN_EXT_CSS		1,750
NUMBER_OF_FILES_MAIN_EXT_JS		21
LINES_OF_CODE_MAIN_EXT_JS		1,369
NUMBER_OF_FILES_MAIN_EXT_TSX		15
LINES_OF_CODE_MAIN_EXT_TSX		1,352
NUMBER_OF_FILES_MAIN_EXT_PS1		1
LINES_OF_CODE_MAIN_EXT_PS1		140
NUMBER_OF_FILES_MAIN_EXT_XML		1
LINES_OF_CODE_MAIN_EXT_XML		81
NUMBER_OF_FILES_MAIN_EXT_TS		3
LINES_OF_CODE_MAIN_EXT_TS		50
NUMBER_OF_FILES_MAIN_EXT_PRISMA		1
LINES_OF_CODE_MAIN_EXT_PRISMA		39
NUMBER_OF_FILES_MAIN_EXT_SQL		1
LINES_OF_CODE_MAIN_EXT_SQL		31
NUMBER_OF_FILES_MAIN_EXT_TOML		1
LINES_OF_CODE_MAIN_EXT_TOML		3
NUMBER_OF_FILES_TEST		19
LINES_OF_CODE_TEST		1,445
NUMBER_OF_FILES_TEST_EXT_TSX		6
LINES_OF_CODE_TEST_EXT_TSX		725
NUMBER_OF_FILES_TEST_EXT_JS		10
LINES_OF_CODE_TEST_EXT_JS		666
NUMBER_OF_FILES_TEST_EXT_TS		3
LINES_OF_CODE_TEST_EXT_TS		54
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		19.52
NUMBER_OF_FILES_GENERATED		11
LINES_OF_CODE_GENERATED		16,886
NUMBER_OF_FILES_GENERATED_EXT_JSON		4
LINES_OF_CODE_GENERATED_EXT_JSON		16,582
NUMBER_OF_FILES_GENERATED_EXT_JS		4
LINES_OF_CODE_GENERATED_EXT_JS		279
NUMBER_OF_FILES_GENERATED_EXT_PRISMA		1
LINES_OF_CODE_GENERATED_EXT_PRISMA		19
NUMBER_OF_FILES_GENERATED_EXT_MJS		2
LINES_OF_CODE_GENERATED_EXT_MJS		6
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		17
LINES_OF_CODE_OTHER		17,115
NUMBER_OF_FILES_OTHER_EXT_JSON		11
LINES_OF_CODE_OTHER_EXT_JSON		16,746
NUMBER_OF_FILES_OTHER_EXT_MD		3
LINES_OF_CODE_OTHER_EXT_MD		354
NUMBER_OF_FILES_OTHER_EXT_TXT		3
LINES_OF_CODE_OTHER_EXT_TXT		15
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_PRISMA		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_PRISMA		73
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_PRISMA_EXT_PRISMA		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_PRISMA_EXT_PRISMA		39
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_PRISMA_EXT_SQL		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_PRISMA_EXT_SQL		31
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_PRISMA_EXT_TOML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_PRISMA_EXT_TOML		3
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_SRC		12
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_SRC		807
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_SRC_EXT_JS		12
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_SRC_EXT_JS		807
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CYPRESS_E2E		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CYPRESS_E2E		260
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CYPRESS_E2E_EXT_JS		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CYPRESS_E2E_EXT_JS		260
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CYPRESS_SUPPORT		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CYPRESS_SUPPORT		31
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CYPRESS_SUPPORT_EXT_JS		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CYPRESS_SUPPORT_EXT_JS		31
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT		152
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_PS1		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_PS1		140
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_JS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_JS		12
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SPL_COVERAGE		13
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SPL_COVERAGE		3,095
