Metric		Current
TOTAL_NUMBER_OF_FILES		28,761
NUMBER_OF_FILES_MAIN		68
LINES_OF_CODE_MAIN		7,455
NUMBER_OF_FILES_MAIN_EXT_HTML		10
LINES_OF_CODE_MAIN_EXT_HTML		2,599
NUMBER_OF_FILES_MAIN_EXT_TSX		20
LINES_OF_CODE_MAIN_EXT_TSX		1,894
NUMBER_OF_FILES_MAIN_EXT_CSS		16
LINES_OF_CODE_MAIN_EXT_CSS		1,750
NUMBER_OF_FILES_MAIN_EXT_JS		16
LINES_OF_CODE_MAIN_EXT_JS		1,027
NUMBER_OF_FILES_MAIN_EXT_XML		1
LINES_OF_CODE_MAIN_EXT_XML		81
NUMBER_OF_FILES_MAIN_EXT_TS		4
LINES_OF_CODE_MAIN_EXT_TS		65
NUMBER_OF_FILES_MAIN_EXT_PRISMA		1
LINES_OF_CODE_MAIN_EXT_PRISMA		39
NUMBER_OF_FILES_TEST		6
LINES_OF_CODE_TEST		576
NUMBER_OF_FILES_TEST_EXT_TSX		3
LINES_OF_CODE_TEST_EXT_TSX		421
NUMBER_OF_FILES_TEST_EXT_JS		2
LINES_OF_CODE_TEST_EXT_JS		142
NUMBER_OF_FILES_TEST_EXT_TS		1
LINES_OF_CODE_TEST_EXT_TS		13
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		7.72
NUMBER_OF_FILES_GENERATED		11
LINES_OF_CODE_GENERATED		16,633
NUMBER_OF_FILES_GENERATED_EXT_JSON		4
LINES_OF_CODE_GENERATED_EXT_JSON		16,329
NUMBER_OF_FILES_GENERATED_EXT_JS		4
LINES_OF_CODE_GENERATED_EXT_JS		279
NUMBER_OF_FILES_GENERATED_EXT_PRISMA		1
LINES_OF_CODE_GENERATED_EXT_PRISMA		19
NUMBER_OF_FILES_GENERATED_EXT_MJS		2
LINES_OF_CODE_GENERATED_EXT_MJS		6
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		17
LINES_OF_CODE_OTHER		16,671
NUMBER_OF_FILES_OTHER_EXT_JSON		10
LINES_OF_CODE_OTHER_EXT_JSON		16,479
NUMBER_OF_FILES_OTHER_EXT_MD		3
LINES_OF_CODE_OTHER_EXT_MD		184
NUMBER_OF_FILES_OTHER_EXT_TXT		4
LINES_OF_CODE_OTHER_EXT_TXT		8
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND		21
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND		1,385
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_EXT_JS		13
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_EXT_JS		768
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_EXT_TSX		5
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_EXT_TSX		545
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_EXT_PRISMA		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_EXT_PRISMA		39
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_EXT_TS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_EXT_TS		20
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_EXT_HTML		13
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SPL		47
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SPL		6,070
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SPL_EXT_HTML		9
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SPL_EXT_HTML		2,586
